date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:03	218283/218283	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/sliders/4.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/sliders/4.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:03	103744/103744	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/work/grid/2.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/work/grid/2.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:05	457033/457033	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/cta/1.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/cta/1.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:06	108397/108397	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/work/grid/4.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/work/grid/4.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:06	457033/457033	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/sliders/5.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/sliders/5.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:06	89033/89033	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/work/grid/3.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/work/grid/3.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:07	58591/58591	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/work/grid/5.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/work/grid/5.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:07	42014/42014	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/work/grid/6.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/work/grid/6.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:09	2746/2746	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/images/clients/1.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/clients/1.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:09	4261/4261	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/images/clients/2.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/clients/2.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:10	4265/4265	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/images/clients/3.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/clients/3.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:11	4129/4129	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/images/clients/4.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/clients/4.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:11	4695/4695	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/images/clients/5.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/clients/5.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:12	4218/4218	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/images/clients/6.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/clients/6.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:12	12914/12914	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/testimonial/3.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/testimonial/3.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:13	13035/13035	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/testimonial/4.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/testimonial/4.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:13	3416/3416	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2011:06:14%20GMT	https://demo.zytheme.com/equita/blog-single.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/blog-single.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:15	59817/59817	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/blog/grid/2.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/blog/grid/2.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:15	57221/57221	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/blog/grid/3.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/blog/grid/3.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:16	60710/60710	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/blog/grid/1.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/blog/grid/1.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
